id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,occupancy_rate,estimated_annual_revenue,revenue_per_available_day,host_type,host_performance_score,neighbourhood_average_price,demand_score,days_since_last_review,city_average_price,price_index,price_category,minimum_nights_bucket
8831088,Super-Hip Luxury Slu Apartment,33698546,Stone,Cascade,South Lake Union,47.6233,-122.33197,Entire Home/Apt,$110.00,30,0,,0,1,0,Seattle,100.00%,"$40,150.00",110,Individual,0.00,$178.17,-1.43,,$228.97,0.48,Budget,8–30 Nights
16031497,"Cozy By The Bay, Marinas, Fishing, Beach, Downtown",69864302,Janene,Not Specified,Roseville,32.72432,-117.2313,Private Room,$50.00,1,225,3/13/2020,5.23,1,0,San Diego,100.00%,"$18,250.00",50,Individual,1176.75,$222.50,5.16,271,$306.57,0.16,Budget,1 Night
43909651,Luxurious Studio City Home,287060585,Bienville Villas,City Of Los Angeles,Studio City,34.14426,-118.36424,Entire Home/Apt,$418.00,1,2,8/19/2020,1.4,1,123,Los Angeles,66.30%,"$101,156.00",277.134,Individual,1.86,$222.65,-0.04,112,$230.70,1.81,Premium,1 Night
818526,Oasis In The Malibu Wine Trail,4299309,Leslie,Unincorporated Areas,Unincorporated Santa Monica Mountains,34.09498,-118.81361,Entire Home/Apt,"$1,101.00",1,53,11/8/2020,0.59,2,341,Los Angeles,6.60%,"$26,424.00",72.666,Small Operator,1.03,$481.89,1.41,31,$230.70,4.77,Premium,1 Night
22531774,Bright 1 Br Apartment For Super Bowl - 1.7 Miles,20407422,Aleah,Not Specified,Hennepin,44.96635,-93.28994,Entire Home/Apt,$359.00,2,1,5/2/2018,0.03,1,0,Twin Cities Msa,100.00%,"$131,035.00",359,Individual,0.03,$483.20,-0.98,952,$556.88,0.64,Budget,2–3 Nights
22423769,"Best Location In La, Walk To Sunset Junction",128292914,David,City Of Los Angeles,Silver Lake,34.08861,-118.28063,Private Room,$52.00,30,0,,0,4,0,Los Angeles,100.00%,"$18,980.00",52,Small Operator,0.00,$149.94,-1.53,,$230.70,0.23,Budget,8–30 Nights
33321394,Affordable Beachfront Condo Steps From Beach,140966123,Mark,Not Specified,Pacific Beach,32.79888,-117.25705,Entire Home/Apt,$171.00,7,1,10/8/2019,0.08,1,0,San Diego,100.00%,"$62,415.00",171,Individual,0.08,$660.48,-1.26,428,$306.57,0.56,Budget,4–7 Nights
20925545,Summit House,146677771,Adel,Not Specified,Ward F (Councilmember Jermaine D. Robinson),40.72286,-74.0652,Entire Home/Apt,$99.00,2,70,2/16/2020,2.13,4,3,Jersey City,99.20%,"$35,838.00",98.208,Small Operator,36.98,$96.91,0.94,297,$150.76,0.66,Budget,2–3 Nights
33164440,Luxury Downtown Building. Modern Studio Apartment.,120118171,Jordan,Not Specified,District 19,36.15444,-86.77453,Entire Home/Apt,$195.00,2,12,11/24/2019,0.7,1,0,Nashville,100.00%,"$71,175.00",195,Individual,8.40,$229.87,-0.68,381,$223.27,0.87,Average,2–3 Nights
14551959,The Bartlett Queen (7Th Floor No Elevator),17042045,The Bartlett,Not Specified,Downtown/Civic Center,37.78622,-122.40958,Private Room,$63.00,6,86,4/8/2019,1.77,51,0,San Francisco,100.00%,"$22,995.00",63,Commercial Operator,2.98,$175.41,0.91,611,$295.23,0.21,Budget,4–7 Nights
28244655,Cozy Resort Style 2Br Townhouse In La,4140161,Executive,City Of Los Angeles,Westwood,34.06229,-118.44272,Entire Home/Apt,$394.00,7,1,6/13/2019,0.07,17,210,Los Angeles,42.50%,"$61,070.00",167.45,Professional,0.00,$171.80,-0.90,545,$230.70,1.71,Premium,4–7 Nights
34565925,Sawgrass Mall Apartment For Vacations,260818951,Karla,Not Specified,Tamarac,26.20315,-80.26591,Entire Home/Apt,$90.00,2,11,3/16/2020,1.05,1,365,Broward County,0.00%,$0.00,0,Individual,0.00,$466.00,-0.66,268,$253.11,0.36,Budget,2–3 Nights
20592700,Living Room Space 5 Mins From Burbank Downtown,75090790,Shreya,Other Cities,Burbank,34.18671,-118.30869,Shared Room,$30.00,1,0,,0,1,0,Los Angeles,100.00%,"$10,950.00",30,Individual,0.00,$124.73,-1.56,,$230.70,0.13,Budget,1 Night
2134052,Large Artsy Studio With 90S Style,7978448,Seth,Manhattan,Chelsea,40.74193,-74.0017,Entire Home/Apt,$107.00,3,23,6/12/2015,0.3,1,0,New York City,100.00%,"$39,055.00",107,Individual,6.90,$417.33,-0.89,2007,$162.83,0.66,Budget,2–3 Nights
41618408,Not Specified,89257961,Not Specified,Unincorporated Areas,Rowland Heights,33.98858,-117.91666,Entire Home/Apt,$120.00,5,0,,0,16,169,Los Angeles,53.70%,"$23,520.00",64.44,Professional,0.00,$92.83,-1.41,,$230.70,0.52,Budget,4–7 Nights
31694402,Spacious Master Bedroom In Beacon Hill Townhome,3286046,Parker,Beacon Hill,North Beacon Hill,47.58489,-122.31353,Private Room,$75.00,30,5,6/17/2019,0.3,2,0,Seattle,100.00%,"$27,375.00",75,Small Operator,0.75,$124.00,-1.23,541,$228.97,0.33,Budget,8–30 Nights
10136634,Williamsburg/Greenpoint Brooklyn,11615226,Jolynn,Brooklyn,Greenpoint,40.72308,-73.95071,Private Room,$75.00,1,0,,0,1,0,New York City,100.00%,"$27,375.00",75,Individual,0.00,$114.76,-1.49,,$162.83,0.46,Budget,1 Night
4607923,Lovely Large Sunny Room Sunset Park,1113080,Audrey,Brooklyn,Sunset Park,40.64722,-74.00475,Private Room,$45.00,20,99,2/1/2020,1.41,2,355,New York City,2.70%,$450.00,1.215,Small Operator,1.88,$96.21,0.87,312,$162.83,0.28,Budget,8–30 Nights
36806293,Right Next To Capitol Building; The Center Of Dc,158188029,Matthew,Not Specified,"Capitol Hill, Lincoln Park",38.89113,-77.00306,Entire Home/Apt,$125.00,2,11,1/18/2020,0.78,1,0,Washington D.C.,100.00%,"$45,625.00",125,Individual,8.58,$214.83,-0.76,326,$175.34,0.71,Budget,2–3 Nights
9523488,Welcome To Williamsburg,19733878,Sabrina,Brooklyn,Williamsburg,40.71018,-73.95488,Entire Home/Apt,$110.00,3,4,1/1/2017,0.08,1,0,New York City,100.00%,"$40,150.00",110,Individual,0.32,$125.13,-1.32,1438,$162.83,0.68,Budget,2–3 Nights
242585,Beautiful Large Studio With Alcove,974472,Alessandra,Manhattan,Hell'S Kitchen,40.75867,-73.98921,Entire Home/Apt,$175.00,4,17,8/15/2019,0.16,1,173,New York City,52.60%,"$33,600.00",92.05,Individual,1.43,$328.08,-0.96,482,$162.83,1.07,Average,4–7 Nights
43956530,New Comfort Studio,72926334,Iquane,Brooklyn,Bedford-Stuyvesant,40.68464,-73.93019,Entire Home/Apt,$61.00,1,5,8/16/2020,2.42,6,364,New York City,0.30%,$61.00,0.183,Professional,0.01,$110.45,0.03,115,$162.83,0.37,Budget,1 Night
18178840,Pacific Beach House 2 Blocks To Beach,552078,Jeff,Not Specified,Pacific Beach,32.80155,-117.25363,Entire Home/Apt,$425.00,3,28,7/24/2020,0.77,2,10,San Diego,97.30%,"$150,875.00",413.525,Small Operator,10.49,$660.48,0.00,138,$306.57,1.39,Premium,2–3 Nights
854521,"Room, Central Location, Priv. Entry",4463092,Samuel,Manhattan,Harlem,40.80473,-73.95047,Private Room,$33.00,7,70,8/29/2020,0.83,2,302,New York City,17.30%,"$2,079.00",5.709,Small Operator,5.03,$114.51,0.04,102,$162.83,0.2,Budget,4–7 Nights
22279635,Polo Towers - 1 - Bdrm,109904033,Colleen,Not Specified,Unincorporated Areas,36.10702,-115.17053,Private Room,$146.00,2,8,10/1/2020,0.25,84,90,Clark County,75.30%,"$40,150.00",109.938,Commercial Operator,0.02,$215.51,-1.09,69,$191.70,0.76,Budget,2–3 Nights
